,IntegratedGradients_L2,IntegratedGradients_L1,IntegratedGradients_sum,InputXGradient_L2,InputXGradient_L1,InputXGradient_sum,Saliency_L2,Saliency_L1,Saliency_sum,GradientShap_L2,GradientShap_L1,GradientShap_sum,Occlusion_L2,Occlusion_L1,Occlusion_sum,model,run_id,source,token_types
0,0.0028449673018308137,0.0025814636457990696,-0.037767035912704514,0.007635400940632726,-0.0033859166470404317,0.16866493503982244,0.03947901308413983,0.036296094774442546,0.5826561412875334,-0.002634855932372557,0.001068803096054458,-0.03190130183151273,-0.03838981644584799,-0.03838981644584799,-0.00689696145729601,distilbert-base,1dtrrdev,scientsbank,False
1,-0.003529595175192123,0.010132400865646195,-0.09168582413644592,-0.07006805095580004,-0.06642528629135304,-0.10429923521113872,-0.062039657223017006,-0.061606650315291105,-0.14649642418438485,-0.03034924179871052,-0.013971452875683932,-0.08801454330795297,-0.11940264867437135,-0.11940264867437135,-0.12882375857848946,bert-base,1uzggxoc,scientsbank,False
2,-0.06786905855357404,-0.06397641292951779,-0.1347925251699042,-0.046404398961816036,-0.042641959839051204,-0.10384658290025116,-0.04191713240781355,-0.04189599336003594,-0.1390365961258993,-0.06482023923500853,-0.06294491444195817,-0.13434139561400962,-0.12098438382648664,-0.12098438382648664,-0.13542347084555426,distilroberta,z75ira53,scientsbank,False
3,-0.04851158221605626,-0.04281807981890262,-0.12152159650963694,0.00012852644959607902,-0.0016278679614214187,-0.08842622556911708,0.007072685847499796,0.006857234018209963,-0.09930099653234681,-0.053502133667241165,-0.049738513304004285,-0.11984152597712425,-0.10543359592353853,-0.10543360777148744,-0.11717049835738781,distilroberta-base-squad2,2dqwyfm7,scientsbank,False
4,-0.020905887508566305,-0.021116994970812698,-0.04448308992807377,-0.003799291816821921,-0.0019197383090076884,-0.030981579125852875,-0.007674386860991375,-0.0063106949172930865,-0.028602100596330896,-0.03354250334280609,-0.03297565308362753,-0.053198403917890213,-0.056295766916017224,-0.056295766916017224,-0.06281601533362123,albert-base-squad2,ektq6s3e,scientsbank,False
5,-0.1084670671270953,-0.0844849478950888,-0.22552482638957877,-0.06137325994554512,-0.052773770425989,-0.13672678022492069,-0.04504646221244518,-0.04347692015517471,-0.1420355929533051,-0.059192773712940766,-0.03471333427366222,-0.15184161301045143,-0.11297250591468887,-0.11297246773796456,-0.14597659724155226,roberta-base-squad2,1mai4ccq,scientsbank,False
6,-0.12961250774403518,-0.11839434660918248,-0.14098354501996896,-0.1543184688897934,-0.15748635284811174,-0.14791950514825628,-0.16738926565699383,-0.16838485816408727,-0.18827153549671666,-0.11623898629033935,-0.11155217772783274,-0.14359277040308024,-0.14247490967137352,-0.1424749079788094,-0.15024025168155672,roberta-large,3fmajm25,scientsbank,False
7,-0.06314155663033122,-0.059540815299193604,-0.19783982090316918,0.021244165457066724,0.034565347912744813,-0.08023079891960003,0.033011944498355233,0.033371848733762095,-0.07220028123330426,-0.04357482696590641,-0.030579427825040504,-0.10587172767064151,-0.10556185886597433,-0.10556192081382156,-0.12684744325423655,roberta-base,ruhq8e77,scientsbank,False
8,-0.06569508332864717,-0.06371588858288779,0.0011212664219749033,0.015826223402398237,0.010966523576137033,-0.007439910617340402,0.01355372555351202,0.012474690537398393,-0.022808625748303047,-0.020331975847263747,-0.011549014525806126,-0.025035376283855607,-0.07968939981872221,-0.07968939981872221,-0.08630940990347459,albert-large,23drb3l9,scientsbank,False
9,-0.04049302382311865,-0.03933139622853066,-0.06754100942179216,0.004440504473654628,-0.0003151523131931857,-0.003574392502018008,0.001026792394285027,-0.002257396616114874,-0.030062770897274077,-0.04560543671982804,-0.04040799487991359,-0.07029955088832232,-0.0807436134673302,-0.0807435423044116,-0.09054953800098636,albert-base,3h9focuh,scientsbank,False
10,-0.08372174469374766,-0.07703985946075051,-0.17177060843204173,-0.06033471515052944,-0.05862868324226631,-0.14400374701562585,-0.05380443370173681,-0.05397365265280938,-0.16067870272378026,-0.08695831475353628,-0.07384463818427321,-0.15487494557337414,-0.14223776689929296,-0.14223778605661144,-0.1702093200697325,bert-base-squad2,31ktjuah,scientsbank,False
11,0.038647794801860605,0.04663532082158596,0.013004833286751723,0.01772051681792141,0.02491059841849156,0.1485532303116317,0.022476669168815223,0.02189289080468868,0.13157461385696523,0.03609861412116964,0.042574169311002844,0.013662206157217477,0.03424491565265691,0.03424491565265691,0.0925925039445462,distilbert-base-squad2,11ye3q7a,scientsbank,False
12,-0.08144854018687021,-0.0729645695735232,-0.20989223645473348,-0.06731606964822574,-0.06677293020026001,-0.14966763310113013,-0.05818067779659472,-0.05821265623193984,-0.15499204398486913,-0.05032811089793384,-0.04620111398516901,-0.152777762219683,-0.2122819637526545,-0.21228199173638151,-0.23058922150458286,bert-large,2xah1z9j,scientsbank,False
