,IntegratedGradients_L2,IntegratedGradients_L1,IntegratedGradients_sum,InputXGradient_L2,InputXGradient_L1,InputXGradient_sum,Saliency_L2,Saliency_L1,Saliency_sum,GradientShap_L2,GradientShap_L1,GradientShap_sum,Occlusion_L2,Occlusion_L1,Occlusion_sum,run_id,attr_file
0,0.5880482949843251,0.5863451087633765,0.5198968734313892,0.7283330465236756,0.725052679273592,0.4867931893003255,0.704516992803694,0.704667746447801,0.5331162774193361,0.5589816730547967,0.5626152566651295,0.5054026050647401,0.6129273164665081,0.6129273164665081,0.5493170170593304,duz1lf4b,attributions/scientsbank-token_types-1/duz1lf4b.pkl
1,0.5585943085573486,0.5572403049971163,0.5238085126208831,0.7316278039442484,0.7334593596535103,0.48925260857407515,0.7253134316204835,0.7266627644951049,0.50482471161814,0.5347982623765805,0.538455987472081,0.4920212569869952,0.5913333774108895,0.5913333774108895,0.5748219625693679,e2kip6d2,attributions/scientsbank-token_types-1/e2kip6d2.pkl
2,0.6586822100242488,0.6646558636035137,0.5519190544838195,0.7161608868974781,0.7116683769918167,0.45992438117335105,0.6926799487231895,0.6924545444433146,0.4848105798098596,0.5998773027202988,0.5995326769669367,0.5110235199193559,0.6063117883734472,0.6063117883734472,0.6000048936405803,3dbwtw65,attributions/scientsbank-token_types-1/3dbwtw65.pkl
3,0.5202369180863735,0.5296446885998121,0.5104190343661658,0.6841274784629304,0.6781404053096006,0.48791957220856047,0.6655301150278473,0.6657284750561102,0.5092048568689729,0.5103528190086649,0.5301467997697704,0.510880927495928,0.5990955203095906,0.5990955203095906,0.602395847232445,3khdojqa,attributions/scientsbank-token_types-1/3khdojqa.pkl
4,0.6496805570699916,0.6502126084576032,0.5354282168564795,0.7052416840121788,0.7044487317331413,0.483710391416358,0.7068020878553591,0.7022311090626101,0.4978543312646522,0.6206303588827905,0.6172963415139147,0.4941727606052999,0.5839046642444276,0.5839046642444276,0.5676966687214269,2iq8yc9g,attributions/scientsbank-token_types-1/2iq8yc9g.pkl
5,0.6868184873712836,0.7392802358101916,0.588701711492352,0.7235632227918091,0.7244366794485798,0.4730333301575178,0.6983016643353909,0.6999792567801908,0.4955985318812798,0.6797168410911131,0.7209889845034347,0.5743563783837055,0.6009741053540909,0.6009741053540909,0.5631073064970291,j2npaw78,attributions/scientsbank-token_types-1/j2npaw78.pkl
6,0.7370246475418782,0.7691788119283919,0.6005157398607136,0.7504496784978982,0.7538641573274646,0.5307583994925654,0.7309844587331431,0.732594897302582,0.5238588523130456,0.6732214996320385,0.7283467050910115,0.565788631930708,0.607071023303199,0.607071023303199,0.5641907961320408,12y3pqyr,attributions/scientsbank-token_types-1/12y3pqyr.pkl
7,0.6492101289075638,0.7014563554318595,0.5793325993830007,0.7119054953350474,0.7066473620605336,0.5189282200263063,0.6606777704834467,0.661406557200854,0.5045666072882405,0.6150273455874757,0.6743499872275035,0.5676111204628701,0.6106325251694839,0.6106325251694839,0.5302950626403627,3p2l1x8q,attributions/scientsbank-token_types-1/3p2l1x8q.pkl
8,0.6987127743923316,0.7120859887324562,0.5803649033293559,0.7095175766542595,0.7065820834599942,0.5209002717670632,0.7390204582356792,0.7438721873974495,0.5161192064235025,0.6763048177394144,0.6998531125884965,0.5320683536074091,0.564321932319421,0.564321932319421,0.525441574034705,1x1id93e,attributions/scientsbank-token_types-1/1x1id93e.pkl
9,0.6987569623258143,0.6998689854704746,0.5667906622407374,0.6987635210403326,0.7059415330477506,0.537130875303698,0.7067874515067532,0.7090566093539599,0.5243877123491902,0.6988096268078035,0.6991342208314525,0.5237609669376061,0.5887478766016309,0.5887478766016309,0.5664933778874561,37yt6a7b,attributions/scientsbank-token_types-1/37yt6a7b.pkl
10,0.6139198276495295,0.7029111089138773,0.562708667448668,0.7049224545499063,0.7044073752085026,0.5113133515826631,0.6805027767897203,0.683251148508674,0.5161980720465311,0.5907490571423399,0.6617905623384114,0.533811758360128,0.5801388808006107,0.5801388808006107,0.5623373540121445,37jg5vpb,attributions/scientsbank-token_types-1/37jg5vpb.pkl
