,IntegratedGradients_L2,IntegratedGradients_L1,IntegratedGradients_sum,InputXGradient_L2,InputXGradient_L1,InputXGradient_sum,Saliency_L2,Saliency_L1,Saliency_sum,GradientShap_L2,GradientShap_L1,GradientShap_sum,Occlusion_L2,Occlusion_L1,Occlusion_sum,model,run_id,source,token_types
0,0.11056810191811377,0.1137061997474043,0.15800856053570894,0.06960155514505134,0.07771352240562378,0.6396407015804776,0.051077222915748656,0.0511767818698468,0.6800895866562735,0.07731278547461116,0.08660591643243212,0.051097499526681696,0.09112538999255654,0.0911252732450717,0.44278947179735645,distilbert-base-squad2,1m2vhzqf,beetle,False
1,0.14874161501570934,0.14943880466019016,0.12389875924770571,0.1677931018472836,0.18663479225929655,0.12042496152585334,0.18478719018082862,0.18385290173444974,-0.010515287980454764,0.1400144861558304,0.15446796079725855,0.07315962726772217,0.08257831456273355,0.08257874077600458,0.05853553559468175,distilroberta,35pecbad,beetle,False
2,0.2749458961666844,0.2804800691804391,0.13057282754317942,0.2338493462401632,0.24355974974736774,-0.06333745047096678,0.21572461725384703,0.2159673616340147,-0.09504991943662922,0.25006069555195226,0.25566868812172494,0.08021549622206191,0.06167909375958685,0.06167900104121013,-0.006659473694822124,bert-base,3mtec359,beetle,False
3,0.17037975882787595,0.18113758198247767,0.10480720538194839,0.13016422462137928,0.14299054626561988,0.03846606736962642,0.11608511911546243,0.11686881745687423,-0.15738086452712927,0.16321310282119317,0.1821820715351136,0.07698027339229398,0.19087911866998464,0.19087911866998464,0.22317137947885116,roberta-base,8zzl3fsx,beetle,False
4,0.04420650255849998,0.042804656017884295,0.04814449599848232,0.11775263538445505,0.11144489436145032,0.00857631125509281,0.10411968944504135,0.10125669055898998,0.006778542360639375,0.06663513422360196,0.06375615884473657,0.044612395553578266,0.008114594321502517,0.008114594321502517,-0.03465769854115993,albert-large,3jg5xeg4,beetle,False
5,0.10484698544905588,0.10172424158889076,0.13866397632241592,0.0947044675103467,0.1019959349278209,0.07493584663208647,0.10463730953911503,0.1054411642245595,0.018508329955303007,0.11530437067474009,0.11211497647645585,0.08866346055824151,0.026944302217946997,0.026944243819932757,-0.013378579480463768,albert-base-squad2,325msndm,beetle,False
6,0.07735861230713027,0.07688301955875447,0.051778358065725026,0.08050398588328861,0.07988281076889968,0.058767632410058196,0.0711794541726587,0.07166177480431368,0.00724940899246185,0.05888914452722105,0.06785771191873724,0.03483969039429692,0.05502024186041264,0.055020123899336484,0.03522609354969437,albert-base,spmt2qqh,beetle,False
7,0.22823894065973044,0.24979942562446203,0.12842764321169126,0.11617256502043341,0.12456565602515489,0.005733092572511545,0.1114845132137346,0.11199542574131145,-0.0836002526115234,0.18912485008916033,0.2206336935272771,0.07162468213722378,0.1543265026738372,0.15432657786795528,0.10908024725869718,roberta-base-squad2,237ogwy3,beetle,False
8,0.11593847508393602,0.106179978724034,0.3559858454055208,0.08970373507204217,0.0674572331712447,0.2578073339042647,0.06078614574690614,0.06410470450828251,0.17224799490816753,0.10895956619253273,0.10182886671163045,0.31276687993996793,0.10317318681509877,0.10317318681509877,0.33379081375719916,distilbert-base,2sym8yv8,beetle,False
9,0.1352355065276098,0.14549227539963228,0.045818763187558335,0.1486582264602444,0.14726997202105266,0.05066364866246867,0.1287079798450783,0.12900484748542443,-0.09309416104335896,0.1330814498014802,0.14836068411166892,0.045456554285776454,0.06738914897007099,0.06738914897007099,0.02369430845368259,roberta-large,56ylsa5g,beetle,False
10,0.28952269660971536,0.29481347849615275,0.13122935105166628,0.25126311005535035,0.24489422359306698,0.006997096134470026,0.23296698777609298,0.23008029616521372,-0.0735675436636319,0.2857122512289952,0.28975044716622855,0.1447672605576835,0.1307415161766001,0.1307415161766001,0.03571679730566611,bert-large,2gwc8b9k,beetle,False
11,0.2758767572336575,0.27370009154398445,0.07702495811589928,0.29977418543717343,0.3130280062252527,0.041371935131102294,0.2888056410336128,0.28943367274476856,-0.027228058760260687,0.264204639671018,0.2718892230058162,0.07080266314508032,0.08659798716341018,0.08659796124109961,-0.019849431351338754,bert-base-squad2,zxw45lva,beetle,False
12,0.17323139580497962,0.18226301094013375,0.051369639295453885,0.20237963053671051,0.21813458725536572,-0.007001367733192523,0.21069141869008376,0.21016543753308656,-0.09623552710474172,0.16337016411059235,0.17747117610485394,0.050346415794752186,0.02816924216856871,0.02816924862487452,-0.0058025221803807365,distilroberta-base-squad2,j40idsy9,beetle,False
