,Random,GradientShap,InputXGradient,IntegratedGradients,Occlusion,Saliency,model_name,source,token_types
6,0.6486071428571429,0.7604793011221582,0.8727566137566137,0.7303580361437504,0.6858625712911428,0.8299792139077853,roberta-base-squad2,beetle,False
7,0.6358461313818458,0.7831656703085274,0.700464096749811,0.833916477702192,0.8288029100529101,0.7271863189720332,albert-base,beetle,False
8,0.5873383838383839,0.7812257610114751,0.8529754346182916,0.7696950113378683,0.7408185941043084,0.8134667422524565,roberta-base,beetle,False
9,0.6701572184429329,0.8044058956916099,0.8422630385487526,0.8039455782312924,0.7720124716553288,0.8650302343159484,albert-base-squad2,beetle,False
10,0.6383344671201813,0.7215141392998536,0.8353061224489796,0.8137339380196521,0.7860957032385606,0.7979516250944824,bert-large,beetle,False
11,0.5250870610870612,0.6773637566137568,0.8315651412079983,0.7134402541902541,0.6316690214547356,0.800245275888133,distilbert-base,beetle,False
12,0.697792894935752,0.694560606060606,0.7908405139833712,0.6200757232185803,0.7682048374905516,0.7822539682539683,roberta-large,beetle,False
0,0.4455673529346619,0.6164960615345156,0.7468744636007871,0.6823812798670681,0.6168123139304384,0.7407979536388284,roberta-base-squad2,scientsbank,False
1,0.4529439083746501,0.4499364661667498,0.6676272603574528,0.4507819082080225,0.4451606977166322,0.564380726979423,distilbert-base,scientsbank,False
2,0.4345819668988925,0.4940324632456542,0.6562248409100692,0.4939852551156437,0.488788573463692,0.6275459550204627,distilbert-base-squad2,scientsbank,False
3,0.4256789419431657,0.6257398991560513,0.6570791662786335,0.6521699390029428,0.6063687003467095,0.6750660989892516,albert-base-squad2,scientsbank,False
4,0.4453251398106655,0.5529697967635616,0.7294070665810714,0.6148339665354822,0.6177179879919861,0.6883650580596309,roberta-base,scientsbank,False
5,0.4329508301683138,0.585862301107709,0.6646550615120943,0.6135294519237271,0.6039639769900973,0.6763813911776562,albert-base,scientsbank,False
6,0.454711873956734,0.6026120333730685,0.7027997691858693,0.6107319188345625,0.5968169365365132,0.6727530050700817,distilroberta-base-squad2,scientsbank,False
7,0.4512064359951906,0.5194054254166905,0.6952226185897624,0.5235524000037627,0.5567307117227664,0.676952830090663,roberta-large,scientsbank,False
8,0.4576001892832502,0.6571097403054631,0.7187306360749207,0.6968699416865263,0.5987002921834976,0.7347108369257405,albert-large,scientsbank,False
9,0.4324561043865757,0.5618416984834981,0.7228554084536973,0.5509901676627462,0.6032069942835794,0.687712708338621,bert-base,scientsbank,False
10,0.4552288567329471,0.6647893875481945,0.733731652582082,0.6831485694444814,0.6210341325015893,0.7030371219441076,distilroberta,scientsbank,False
11,0.4367359186002089,0.5663899641207878,0.715369679509757,0.5784797128590178,0.6218632407397306,0.7056573391137081,bert-large,scientsbank,False
12,0.4487498673619137,0.5515917973965281,0.7110801012416301,0.6154727727927505,0.5889503961584975,0.6953551061470954,bert-base-squad2,scientsbank,False
0,0.6808439153439152,0.7925634920634922,0.8790151171579742,0.8047161753590325,0.7350699168556311,0.877819865319865,distilroberta,beetle,True
1,0.6470262660619803,0.7477048374905517,0.7146252319109461,0.7393412698412698,0.735026455026455,0.8110167663024807,albert-base,beetle,True
2,0.6010026455026456,0.7912265168693738,0.8254780801209374,0.8616024187452758,0.7429331065759637,0.8479516250944823,albert-base-squad2,beetle,True
3,0.5491875399732542,0.6578463203463204,0.8334198790627362,0.7168590325018895,0.792419879062736,0.8338265306122448,bert-base-squad2,beetle,True
4,0.6096254208754208,0.8257690854119425,0.8861844293272864,0.8916182917611488,0.8253624338624339,0.8510355253212396,roberta-base,beetle,True
5,0.6510196523053666,0.5835570157355872,0.8591421012849583,0.5944882326668042,0.7271743124600267,0.8617352092352093,bert-base,beetle,True
6,0.6138100907029478,0.7419085411942554,0.8838960695389265,0.7592003023431595,0.7623768823768824,0.8641267436267435,distilroberta-base-squad2,beetle,True
7,0.6901437504294646,0.6120710849996565,0.8185846560846559,0.6416269841269842,0.7524436885865458,0.7627325637325637,bert-large,beetle,True
8,0.6394429327286469,0.7353828420256991,0.8181632653061224,0.746457671957672,0.721481240981241,0.8307611489040058,albert-large,beetle,True
9,0.6716058201058199,0.7815757232185802,0.8583068783068784,0.8297460317460317,0.7510314024599738,0.8288926681783824,roberta-base-squad2,beetle,True
10,0.6582272727272728,0.5894561602418745,0.831298185941043,0.7823209991067134,0.7365289115646257,0.8151077097505669,roberta-large,beetle,True
