,token_types,source,model,model_path,run_id-1,state-1,max_f1-1,max_f1_macro-1,run_id-2,state-2,max_f1-2,max_f1_macro-2,run_id-3,state-3,max_f1-3,max_f1_macro-3,model_index
0,False,scientsbank,albert-base-squad2,twmkn9/albert-base-v2-squad2,ektq6s3e,finished,0.7695365405235779,0.7643945898016917,32o31ecg,finished,0.7670729403874011,0.7614427939819969,32o31ecg,finished,0.7670729403874011,0.7614427939819969,15
1,False,scientsbank,bert-base-squad2,twmkn9/bert-base-uncased-squad2,31ktjuah,finished,0.7793245882736665,0.7748099762054115,10o4hc05,finished,0.8002843443354147,0.7967774308652988,10o4hc05,finished,0.8002843443354147,0.7967774308652988,14
2,False,scientsbank,distilroberta-base-squad2,twmkn9/distilroberta-base-squad2,2dqwyfm7,finished,0.7875501365754504,0.7840983760443068,gbmkqvnb,finished,0.7720380359846739,0.767494775458482,gbmkqvnb,finished,0.7720380359846739,0.767494775458482,13
3,False,scientsbank,roberta-base-squad2,deepset/roberta-base-squad2,1mai4ccq,finished,0.8316405638771532,0.8271668160286774,3a33dkk2,finished,0.8053983234015508,0.8015199302694358,3a33dkk2,finished,0.8053983234015508,0.8015199302694358,12
4,False,scientsbank,distilbert-base-squad2,twmkn9/distilbert-base-uncased-squad2,11ye3q7a,finished,0.7952616108171664,0.7904761904761904,33fzsfij,finished,0.8042762345679012,0.80125,33fzsfij,finished,0.8042762345679012,0.80125,11
5,False,scientsbank,distilroberta,distilroberta-base,z75ira53,finished,0.8023976765958643,0.7992906742068717,31cx2iq8,finished,0.7823885109599397,0.7795918367346939,31cx2iq8,finished,0.7823885109599397,0.7795918367346939,10
6,False,scientsbank,distilbert-base,distilbert-base-uncased,1dtrrdev,finished,0.7510855165125231,0.7444046250591656,1ky5vfxw,finished,0.7483360498244219,0.7440129550621282,1ky5vfxw,finished,0.7483360498244219,0.7440129550621282,9
7,False,scientsbank,albert-large,albert-large-v2,23drb3l9,finished,0.8347281521235008,0.8307931176526506,3k72ugwv,finished,0.8330528284244973,0.8295932678821879,3k72ugwv,finished,0.8330528284244973,0.8295932678821879,7
8,False,scientsbank,albert-base,albert-base-v2,3h9focuh,finished,0.7944968617537617,0.7906179808642859,2d323pre,finished,0.8214506259825012,0.817372188715405,2d323pre,finished,0.8214506259825012,0.817372188715405,6
9,False,scientsbank,roberta-large,roberta-large,3fmajm25,finished,0.8340215806357538,0.8299212598425196,1ks00y35,finished,0.8287642563198119,0.8247619047619048,1ks00y35,finished,0.8287642563198119,0.8247619047619048,5
10,False,scientsbank,roberta-base,roberta-base,ruhq8e77,finished,0.8059669732625707,0.8011218765935747,30bcwrl4,finished,0.7979849261978004,0.7939587847558904,30bcwrl4,finished,0.7979849261978004,0.7939587847558904,2
