,GradientShap,InputXGradient,IntegratedGradients,Occlusion,Saliency,Random,model_name,source,token_types
0,0.9012118577957153,0.8346707820892334,0.9176398515701294,0.6634344458580017,0.8541423082351685,0.7339069843292236,albert-base-squad2,beetle,False
1,0.8463287353515625,0.8945476412773132,0.8808218836784363,0.8039879202842712,0.8867359161376953,0.7339555621147156,roberta-base-squad2,beetle,False
2,0.8802342414855957,0.9157370328903198,0.9368651509284973,0.708954930305481,0.9180192947387695,0.731391966342926,bert-base,beetle,False
3,0.9351984262466431,0.9050614237785339,0.9543188810348511,0.799406886100769,0.9120484590530396,0.7314199209213257,distilroberta-base-squad2,beetle,False
4,0.9882655143737793,0.9077688455581665,0.9949079155921936,0.7633962631225586,0.9453638792037964,0.7276421785354614,distilbert-base,beetle,False
5,0.5831848978996277,0.8268052339553833,0.641693651676178,0.7321503758430481,0.802580714225769,0.7301754355430603,roberta-large,beetle,False
6,0.8937227129936218,0.9160698652267456,0.9517022967338562,0.7680124640464783,0.9098092317581177,0.7319958209991455,bert-base-squad2,beetle,False
7,0.8240671157836914,0.861518383026123,0.8996874690055847,0.7354462146759033,0.8446892499923706,0.7304437756538391,bert-large,beetle,False
8,0.9645896553993225,0.9840839505195618,0.994335412979126,0.9152389168739319,0.9914836883544922,0.7340086698532104,distilbert-base-squad2,beetle,False
9,0.8421510457992554,0.8022909164428711,0.8665021061897278,0.4428049921989441,0.8254576921463013,0.7326958775520325,albert-base,beetle,False
10,0.9201825261116028,0.8541978597640991,0.9420186877250671,0.7437424063682556,0.8595921993255615,0.7317142486572266,distilroberta,beetle,False
11,0.8479403257369995,0.8790122866630554,0.8963146805763245,0.8347508311271667,0.873197078704834,0.7307959794998169,roberta-base,beetle,False
12,0.8234859704971313,0.8006629943847656,0.8619676828384399,0.4472857415676117,0.8202080726623535,0.7177422642707825,albert-large,beetle,False
0,0.8625220060348511,0.8431437015533447,0.8845700025558472,0.5058275461196899,0.8576777577400208,0.7442998290061951,albert-base-squad2,scientsbank,False
1,0.8602332472801208,0.8790850639343262,0.8979698419570923,0.8014401793479919,0.8748483657836914,0.7413116097450256,roberta-base-squad2,scientsbank,False
2,0.8729615807533264,0.9183864593505859,0.9437377452850342,0.7331491112709045,0.9200420379638672,0.7441489696502686,bert-base,scientsbank,False
3,0.9274968504905701,0.8918421268463135,0.9543235898017883,0.801756739616394,0.8943458795547485,0.7450570464134216,distilroberta-base-squad2,scientsbank,False
4,0.9925583004951477,0.9169036746025085,0.9979387521743774,0.859178900718689,0.93038010597229,0.7409142255783081,distilbert-base,scientsbank,False
5,0.5451255440711975,0.8056796789169312,0.613108217716217,0.6993650197982788,0.7842292785644531,0.7392995953559875,roberta-large,scientsbank,False
6,0.8459381461143494,0.8900951147079468,0.9204190373420715,0.6457489728927612,0.8909699320793152,0.7408788204193115,bert-base-squad2,scientsbank,False
7,0.7982625961303711,0.8446745276451111,0.8600672483444214,0.6256692409515381,0.8252137303352356,0.7424667477607727,bert-large,scientsbank,False
8,0.9427049160003662,0.9644933342933655,0.9513428211212158,0.8940944075584412,0.9868536591529846,0.7399399280548096,distilbert-base-squad2,scientsbank,False
9,0.7858033776283264,0.8479728698730469,0.8189948201179504,0.6239371299743652,0.8587202429771423,0.7425257563591003,albert-base,scientsbank,False
10,0.9156709909439087,0.8617691993713379,0.9422146677970886,0.7294913530349731,0.863240122795105,0.7360383868217468,distilroberta,scientsbank,False
11,0.8596764206886292,0.8927646279335022,0.9180862307548523,0.7898299694061279,0.8882996439933777,0.7367030382156372,roberta-base,scientsbank,False
12,0.780664324760437,0.7623661160469055,0.8032365441322327,0.5859584212303162,0.7752310037612915,0.7377570271492004,albert-large,scientsbank,False
0,0.8589252233505249,0.7745804786682129,0.8984024524688721,0.5476526618003845,0.7929115891456604,0.7331215143203735,albert-base-squad2,beetle,True
1,0.8521549105644226,0.8802325129508972,0.9087358713150024,0.8272797465324402,0.8714931011199951,0.7316433191299438,roberta-base-squad2,beetle,True
2,0.8561210632324219,0.8451143503189087,0.9075226187705994,0.6747350096702576,0.848000168800354,0.7279082536697388,bert-base,beetle,True
3,0.9108402729034424,0.7792623043060303,0.9215322732925415,0.6727505326271057,0.7943942546844482,0.7350746989250183,distilroberta-base-squad2,beetle,True
4,0.5323975086212158,0.7987310886383057,0.6195298433303833,0.7194357514381409,0.7717214822769165,0.7340679168701172,roberta-large,beetle,True
5,0.8659775853157043,0.8149208426475525,0.9058409929275513,0.6733882427215576,0.8047192692756653,0.7320739030838013,bert-base-squad2,beetle,True
6,0.883557915687561,0.828498125076294,0.9075731039047241,0.6759926080703735,0.831000804901123,0.7287829518318176,bert-large,beetle,True
7,0.8754677772521973,0.8247945308685303,0.9097256064414978,0.6765508651733398,0.8368790745735168,0.7324880957603455,albert-base,beetle,True
8,0.926794707775116,0.9004301428794861,0.9507144093513489,0.7841070294380188,0.9132532477378845,0.7308725118637085,distilroberta,beetle,True
9,0.8543075919151306,0.8640667796134949,0.9059740900993347,0.7977279424667358,0.8589861392974854,0.7256302833557129,roberta-base,beetle,True
10,0.7470992207527161,0.7740924954414368,0.8445747494697571,0.6683846712112427,0.7948404550552368,0.7286967039108276,albert-large,beetle,True
0,0.843721866607666,0.7330998778343201,0.8733387589454651,0.4730827510356903,0.7451066970825195,0.7411439418792725,albert-base-squad2,scientsbank,True
1,0.8604729175567627,0.8834342360496521,0.9176424145698547,0.7668362259864807,0.8791515231132507,0.7396538257598877,roberta-base-squad2,scientsbank,True
2,0.8569329380989075,0.7932891845703125,0.9079086184501648,0.6568341255187988,0.8156450986862183,0.7408021688461304,bert-base,scientsbank,True
3,0.9242820739746094,0.887769877910614,0.9549698233604431,0.8082239031791687,0.8916682004928589,0.7392438054084778,distilroberta-base-squad2,scientsbank,True
4,0.5330550074577332,0.7801046967506409,0.5609585642814636,0.6734942197799683,0.7592583894729614,0.7415208220481873,roberta-large,scientsbank,True
5,0.8832958936691284,0.8577080965042114,0.9167928695678711,0.6970917582511902,0.8617785573005676,0.7405943870544434,bert-base-squad2,scientsbank,True
6,0.8831973075866699,0.7961130738258362,0.9095344543457031,0.6007901430130005,0.8000071048736572,0.7413703799247742,bert-large,scientsbank,True
7,0.8371080160140991,0.7886695861816406,0.8472923040390015,0.5924311280250549,0.7961407899856567,0.7417422533035278,albert-base,scientsbank,True
8,0.9087811708450317,0.8630968332290649,0.9318815469741821,0.7550366520881653,0.8615769743919373,0.7441718578338623,distilroberta,scientsbank,True
9,0.8052738904953003,0.8291230201721191,0.8318427801132202,0.7936463952064514,0.8356215357780457,0.7407369017601013,roberta-base,scientsbank,True
10,0.7866238355636597,0.7879834175109863,0.815752387046814,0.4467666745185852,0.7993780374526978,0.739957869052887,albert-large,scientsbank,True
